Anamelia SBrinks 0 
526518MUT CURVEBENDER A367501MUT 
526818MUT NOWLOOK 352701MUT 
526918MUT CURVEBENDER 428401MUT 
527018MUT 93491 A236801MUT 
527518MUT 93491 A376801MUT 
527918MUT 93491 A394201MUT 
528618MUT 93491 A393901MUT 
529518MUT HIGHQUALITY A258301MUT 
531018MUT HOOLIGAN A268901MUT 
531218MUT 93491 A241501MUT 
531518MUT HIGHQUALITY A231001MUT 
532818MUT 93491 A252201MUT 
532918MUT HOOLIGAN A389901MUT 
533118MUT 93491 A382601MUT 
533218MUT BRTEXAS4234 A247701MUT 
533818MUT SAFEGUARD 425901MUT 
533918MUT CAPA141023XAVANTE A238101MUT 
535018MUT HIGHQUALITY 354901MUT 
535218MUT CAPA141023XAVANTE A244301MUT 
535418MUT CAPA141023XAVANTE A258201MUT 
535518MUT CAPA141023XAVANTE A262401MUT 
535618MUT CAPA141023XAVANTE A253701MUT 
535718MUT RM38BRG A379301MUT 
553717MUT BRUISER 0765?01MUT 
570618MUT RM38BRG A336501MUT 
584818MUT RM38BRG A334601MUT 
585418MUT RM38BRG A289101MUT 
585918MUT RM38BRG A157001MUT 
586018MUT RM38BRG A207601MUT 
587518MUT RITO4S5 A004301MUT 
589318MUT GAMEPOINT A131901MUT 
623718MUT BREAKINGNEWS A290501MUT 
623918MUT 93491 A185501MUT 
624118MUT SAFEGUARD A350501MUT 
624218MUT 93491 A180401MUT 
624318MUT RM38BRG CA102001MUT 
624418MUT RITO4S5 F966501MUT 
624618MUT RM38BRG A182301MUT 
624718MUT BREAKINGNEWS A114701MUT 
625118MUT RM38BRG A257901MUT 
625418MUT ABSNET A129201MUT 
626318MUT 93491 A185601MUT 
626418MUT BREAKINGNEWS FX47601MUT 
626518MUT RM38BRG A239601MUT 
626618MUT 93491 A194101MUT 
626718MUT SAFEGUARD CA008201MUT 
626818MUT HIGHQUALITY F993901MUT 
626918MUT CURVEBENDER A329401MUT 
627018MUT CHIVA A122001MUT 
627118MUT BREAKINGNEWS A148701MUT 
627218MUT ABSPROTEGE306 A273901MUT 
627318MUT SAFEGUARD A053001MUT 
627518MUT SAFEGUARD A157501MUT 
627618MUT RM38BRG F937401MUT 
627718MUT HOOLIGAN A191401MUT 
627918MUT CURVEBENDER A251901MUT 
628018MUT BREAKINGNEWS A112401MUT 
628118MUT ABSNET A253301MUT 
628218MUT ABSNET CA036601MUT 
628318MUT ABSPROTEGE306 A253401MUT 
628518MUT SAFEGUARD A276101MUT 
628618MUT BREAKINGNEWS CA029301MUT 
628718MUT CURVEBENDER A273801MUT 
628818MUT SAFEGUARD A245001MUT 
628918MUT BREAKINGNEWS A273001MUT 
629218MUT CURVEBENDER F983101MUT 
629318MUT ABSNET A254501MUT 
629518MUT ABSPROTEGE306 A273201MUT 
629618MUT ABSPROTEGE306 A061401MUT 
629818MUT HOOLIGAN A187901MUT 
630218MUT RM38BRG A023901MUT 
638118MUT CURVEBENDER 353501MUT 
638218MUT SAFEGUARD A391001MUT 
638318MUT NOWLOOK A367701MUT 
638518MUT NOWLOOK A360101MUT 
638618MUT 93491 A389301MUT 
638718MUT RM38BRG A209501MUT 
640118MUT RM38BRG A371501MUT 
640418MUT RM38BRG A374801MUT 
640618MUT RM38BRG A376901MUT 
641018MUT RM38BRG A370901MUT 
657418MUT 93491 A188501MUT 
657518MUT HOOLIGAN A380301MUT 
657618MUT HIGHQUALITY A371301MUT 
658218MUT RM38BRG A376301MUT 
658318MUT CURVEBENDER A029101MUT 
658418MUT HOOLIGAN A381301MUT 
658618MUT ABSPROTEGE306 FX16501MUT 
658718MUT SAFEGUARD A155001MUT 
658818MUT HOOLIGAN A171001MUT 
658918MUT 93491 A370801MUT 
659018MUT SAFEGUARD A141201MUT 
659118MUT GOLIAS A390801MUT 
659218MUT HIGHQUALITY A380501MUT 
659518MUT ABSPROTEGE306 A020601MUT 
659618MUT NOWLOOK A394801MUT 
659818MUT ABSPROTEGE306 A051801MUT 
660118MUT ABSPROTEGE306 A038401MUT 
660318MUT SAFEGUARD A368001MUT 
660418MUT CURVEBENDER FX45501MUT 
660518MUT HIGHQUALITY A395801MUT 
660618MUT CURVEBENDER A376101MUT 
660818MUT ABSPROTEGE306 F847201MUT 
661018MUT SAFEGUARD A360401MUT 
661118MUT HOOLIGAN A369201MUT 
661218MUT RM38BRG A140801MUT 
534718MUT CAPA141023XAVANTE A240701MUT 
562018MUT RMNEL A123801MUT 
570218MUT RM38BRG A113101MUT 
418817MUT GOLIAS A243801MUT 
421617MUT HOOLIGAN A253001MUT 
421717MUT RM38BRG 506801MUT 
422717MUT HOOLIGAN A233501MUT 
424317MUT RM38BRG 558501MUT 
512417MUT HOOLIGAN A286001MUT 
512817MUT HOOLIGAN A178601MUT 
513117MUT GOLIAS FX48801MUT 
513217MUT 93491 A190601MUT 
517117MUT HOOLIGAN A251301MUT 
517417MUT 93491 A235501MUT 
517617MUT 93491 A284901MUT 
518618MUT 93491 A237801MUT 
518918MUT RM38BRG A257601MUT 
519418MUT RM38BRG A265101MUT 
525218MUT GOLIAS 427901MUT 
525518MUT HIGHQUALITY A260801MUT 
526018MUT GOLIAS A368901MUT 
527118MUT HIGHQUALITY A265801MUT 
527318MUT HIGHQUALITY A232301MUT 
528118MUT HIGHQUALITY A251601MUT 
528418MUT HIGHQUALITY A370401MUT 
528518MUT HOOLIGAN A377701MUT 
529018MUT GOLIAS A266301MUT 
529318MUT HIGHQUALITY A258601MUT 
529418MUT HOOLIGAN A392901MUT 
529618MUT HIGHQUALITY A240001MUT 
530518MUT 93491 A257101MUT 
530918MUT HOOLIGAN A245301MUT 
531718MUT GOLIAS A228101MUT 
531918MUT 93491 A238701MUT 
532018MUT HOOLIGAN A261401MUT 
532718MUT HIGHQUALITY A263401MUT 
533518MUT HOOLIGAN A386501MUT 
534118MUT RM38BRG A386001MUT 
534818MUT BRTEXAS4234 A231901MUT 
535118MUT RM38BRG 354401MUT 
535318MUT BRTEXAS4234 A268601MUT 
536718MUT RM38BRG 604601MUT 
730917EEA A128901 451314EEA 
731117EEA A128901 397313EEA 
731317EEA A128739 441114EEA 
731517EEA A128739 437314EEA 
731717EEA A128901 395113EEA 
731917EEA A128739 451114EEA 
732117EEA A128739 397113EEA 
732317EEA EEARM38P17 135111EEA 
732517EEA A122607 567315EEA 
732717EEA EEARM38P17 396513EEA 
732917EEA A128739 157911EEA 
733117EEA 70849 441314EEA 
733317EEA 70849 447914EEA 
733717EEA EEARM38P17 023110EEA 
733917EEA A137374 269712EEA 
734117EEA EEARM38P17 399513EEA 
734317EEA EEARM38P17 14306EEA 
734417EEA CLASICO 457914EEA 
734917EEA A137374 904709EEA 
735317EEA A137374 903509EEA 
735517EEA EEARM38P17 145911EEA 
735717EEA EEARM38P17 397513EEA 
735917EEA EEARM38P17 392713EEA 
736017EEA A137374 013310EEA 
736117EEA EEARM38P17 148911EEA 
736317EEA EEARM38P17 138511EEA 
736517EEA EEARM38P17 165911EEA 
736717EEA EEARM38P17 160711EEA 
737317EEA A137374 434114EEA 
737517EEA EEARM38P17 154911EEA 
737717EEA EEARM38P17 278112EEA 
737817EEA A122607 45207EEA 
737917EEA EEARM38P17 SN104EEA 
738117EEA A128739 320913EEA 
738317EEA EEARM38P17 56608EEA 
738517EEA A137374 032110EEA 
738717EEA A137374 904309EEA 
738917EEA EEARM38P17 53508EEA 
739117EEA EEARM38P17 48707EEA 
739217EEA EEARM38P17 148111EEA 
739317EEA EEARM38P17 302713EEA 
739917EEA EEARM38P17 151811EEA 
740217EEA EEARM38P17 080310EEA 
740317EEA EEARM38P17 908909EEA 
740517EEA A137374 014110EEA 
740917EEA EEARM38P17 162511EEA 
741317EEA EEARM38P17 29707EEA 
741517EEA EEARM38P17 152111EEA 
741717EEA EEARM38P17 142311EEA 
741917EEA EEARM38P17 165711EEA 
742317EEA A137374 025510EEA 
742517EEA EEARM38P17 434514EEA 
742917EEA EEARM38P17 156511EEA 
743117EEA EEARM38P17 55808EEA 
743217EEA EEARM38P17 302313EEA 
744417EEA EEARM38P17 020110EEA 
744517EEA EEARM38P17 588115EEA 
744717EEA EEARM38P17 145111EEA 
744917EEA EEARM38P17 572715EEA 
746117EEA EEARM38P17 10703EEA 
746317EEA EEARM38P17 577115EEA 
746517EEA EEARM38P17 448914EEA 
746917EEA EEARM38P17 436914EEA 
747117EEA EEARM38P17 147911EEA 
747317EEA EEARM38P17 395313EEA 
748517EEA EEARM38P17 435114EEA 
749317EEA EEARM38P17 4489R14EEA 
749517EEA EEARM38P17 573115EEA 
749917EEA EEARM38P17 444514EEA 
750717EEA EEARM38P17 569515EEA 
751317EEA EEARM38P17 028510EEA 
752917EEA EEARM38P17 5731R15EEA 
754317EEA EEARM38P17 587715EEA 
754517EEA EEARM38P17 592315EEA 
754917EEA EEARM38P17 169111EEA 
755117EEA EEARM38P17 21301EEA 
205TE17EPV 59734 B108205GAP 
209TE17EPV 59734 B108205GAP 
169TE17EPV 59734 B146005GAP 
83TE17EPV 67497 B146005GAP 
166TE17EPV 59734 B108205GAP 
140TE17EPV 59734 B108205GAP 
87TE17EPV 67497 B146005GAP 
175TE17EPV 59734 B146005GAP 
165TE17EPV 59734 B108205GAP 
167TE17EPV 59734 B146005GAP 
156TE17EPV 59734 B108205GAP 
80TE17EPV 67497 B146005GAP 
197TE17EPV A108868 B079205GAP 
203TE17EPV 59734 B108205GAP 
179TE17EPV 59734 B146005GAP 
159TE17EPV 59734 B108205GAP 
151TE17EPV 59734 B108205GAP 
7817EPV 59734 K1110MAC 
8217EPV 59734 LA0111MAC 
8517EPV A121924 LA1311MAC 
8617EPV A121924 LA0711MAC 
8817EPV 77460 507914UMBU 
9017EPV A121924 LA0511MAC 
9317EPV A121924 K0210MAC 
9517EPV A108868 LA2811MAC 
9617EPV 75325 K1010MAC 
9717EPV 67497 509914UMBU 
9817EPV RR1015977 LA1011MAC 
9917EPV 59734 K0810MAC 
10017EPV 75897 B066805GAP 
10317EPV 59734 LA1211MAC 
10417EPV A126061 1392TE13EPV 
10517EPV 67497 500514UMBU 
10617EPV 77460 R09314PRIM 
10717EPV RR1015977 05785009EPV 
10817EPV A121924 B108205GAP 
10917EPV A121924 31609EPV 
11017EPV A126061 88609EPV 
11117EPV 67497 504314UMBU 
11217EPV 77460 N2614MAC 
11317EPV A108868 K1210MAC 
11417EPV 77460 N2114MAC 
11517EPV 67497 501514UMBU 
11617EPV A108868 K1310MAC 
11717EPV A108868 LA0611MAC 
11817EPV RR1015977 N11014MAC 
12117EPV 77460 R38414PRIM 
12317EPV A126061 6020066667 
12517EPV 59734 N10914MAC 
12617EPV RR1015977 NA2014MAC 
12817EPV 98959 K0710MAC 
12917EPV 59734 N10314MAC 
13117EPV 75897 N10614MAC 
13217EPV 77460 N11114MAC 
13317EPV 98959 LA2111MAC 
13417EPV 98959 K0510MAC 
13517EPV 98959 478912UMBU 
13617EPV 67497 502714UMBU 
13717EPV 77460 NA1514MAC 
13917EPV 59734 N2814MAC 
14117EPV 67497 501314UMBU 
14217EPV 75897 NA1214MAC 
14517EPV RR1015977 N2514MAC 
14917EPV RR1015977 NA1914MAC 
15017EPV RR1015977 N12214MAC 
15217EPV A121924 469312UMBU 
15517EPV 106303 502514UMBU 
15717EPV 98959 LA0811MAC 
15817EPV A121924 B145605GAP 
16017EPV RR1015977 38010EPV 
16317EPV 106303 506114UMBU 
17117EPV A126061 65407EPV 
17317EPV 77460 NA1414MAC 
17417EPV 98959 LA0911MAC 
17617EPV 98959 33009EPV 
17717EPV 98959 K0610MAC 
18017EPV 106303 N2414MAC 
18217EPV 98959 475912UMBU 
18317EPV 98959 C180406GAP 
18417EPV 106303 N11314MAC 
18517EPV 98959 479712UMBU 
18617EPV 106303 N2214MAC 
18917EPV 106303 N11614MAC 
19017EPV 98959 K0410MAC 
19517EPV 98959 K1410MAC 
20717EPV 106303 505914UMBU 
21117EPV 106303 R28914PRIM 
JT198817FTB A112872 E003008GAP 
JT200117FTB A112872 E019808GAP 
JT202217FTB 106974 JF571507JQRY 
JT199017FTB A112872 JT128012FTB 
JT201017FTB A112872 JT128012FTB 
JT198517FTB A112872 JT128012FTB 
JT204617FTB 106974 E099808GAP 
JT201617FTB 106974 JT114912FTB 
JT210217FTB A121179 JT150214FTB 
JT203617FTB 106974 JF571507JQRY 
JT203217FTB 106974 E099808GAP 
JT199117FTB A112872 JT128012FTB 
JT203517FTB 106974 173508FPF 
JT198217FTB A112872 E003008GAP 
JT204117FTB 106974 E099808GAP 
JT200517FTB A112872 E003008GAP 
JT198717FTB A112872 E003008GAP 
JT198417FTB A112872 JT128012FTB 
JT198017FTB A112872 E003008GAP 
JT198917FTB A112872 E003008GAP 
JT199417FTB A112872 E003008GAP 
JT198117FTB A112872 E003008GAP 
JT200717FTB A112872 E003008GAP 
JT198317FTB A112872 E003008GAP 
JT203417FTB A112872 JT128012FTB 
JT201117FTB A112872 E019808GAP 
JT204217FTB 106974 173508FPF 
JT198617FTB A112872 JT128012FTB 
JT201417FTB A112872 JT128012FTB 
JT205317FTB 106974 JT120212FTB 
JT211217FTB 106974 JT160915FTB 
JT207217FTB 106974 JT128012FTB 
JT207817FTB 53188 760010JMT 
JT207317FTB A112872 E003008GAP 
JT206017FTB 106974 JT120212FTB 
JT206517FTB 106974 JT128012FTB 
JT206717FTB A121179 JT113711FTB 
JT208317FTB 53188 760010JMT 
JT206117FTB 53188 JT114912FTB 
JT199317FTB A112872 E003008GAP 
JT201317FTB 106974 JT114912FTB 
JT197917FTB A112872 E019808GAP 
JT200417FTB A112872 E019808GAP 
JT199217FTB A112872 E003008GAP 
JT210017FTB R10004209 JT145814FTB 
JT204017FTB 106974 JF571507JQRY 
JT209017FTB R10004209 JT151714FTB 
JT199517FTB A113103 JT134813FTB 
JT199617FTB A113103 N15606CAPN 
JT199717FTB A136007 JT136513FTB 
JT199817FTB 53188 JT130513FTB 
JT200017FTB 53188 E015409SC 
JT200317FTB A113103 JT150214FTB 
JT201217FTB A113103 JT149014FTB 
JT201717FTB 53188 E009709SC 
JT201917FTB A121179 JT159315FTB 
JT202017FTB A136046 H17107PRIM 
JT202317FTB 53188 JT151714FTB 
JT202417FTB A121179 JT150814FTB 
JT202517FTB A133187 JT111411FTB 
JT202617FTB A113103 JT132613FTB 
JT202717FTB A113103 E041409SC 
JT203017FTB A121179 H10407PRIM 
JT203117FTB 53188 JT115212FTB 
JT203317FTB A113103 JT143713FTB 
JT203717FTB 53188 JT134113FTB 
JT203817FTB 53188 P8808CAPN 
JT204817FTB A113103 JT119812FTB 
JT204917FTB 106974 JT159115FTB 
JT205117FTB 53188 178209FPF 
JT205517FTB A136046 E33210HP 
JT205817FTB A121179 JT161215FTB 
JT205917FTB A136007 785210JMT 
JT206217FTB A121179 H032112SC 
JT206417FTB A133187 JT158115FTB 
JT206817FTB A136046 JT160815FTB 
JT207117FTB A121179 JT167315FTB 
JT207917FTB 106974 JT164615FTB 
JT208017FTB A113103 JT152214FTB 
JT208417FTB 106974 JT114912FTB 
JT208517FTB A113103 JT148014FTB 
JT208717FTB 106974 JT155314FTB 
JT208817FTB A121179 JT158715FTB 
JT209417FTB A133187 JT126812FTB 
JT209517FTB A136046 JT113711FTB 
JT210617FTB 116683 JT154914FTB 
JT210717FTB 53188 173508FPF 
JT210817FTB 116683 JT164715FTB 
JT210917FTB 53188 JT138313FTB 
JT211517FTB 116683 181111FPF 
M60017SC 98649 I033913SC 
M60117SC 67497 0245602SC 
M60317SC 34494 F040410SC 
M61217SC 34494 B088606SC 
M93317SC 67497 I050013SC 
M93717SC 67497 I050013SC 
M97517SC 67497 H027812SC 
M61817SC A121843 A092005SC 
M87317SC A113103 0289102SC 
M92017SC 67497 I050013SC 
M87717SC 105285 H027812SC 
M62017SC A116836 E054509SC 
M87817SC A113103 B015906SC 
M87117SC A113103 0289102SC 
M91217SC 67497 F086210SC 
M90717SC 105888 F040410SC 
M91517SC 98354 F048710SC 
M95517SC A113103 F086210SC 
M90517SC 98354 F048710SC 
M88017SC A113103 0289102SC 
M95617SC R10112338 0289102SC 
M90817SC 105888 F040410SC 
M90417SC 105285 H027812SC 
M89417SC 105285 H027812SC 
M89717SC 105285 F095910SC 
M89617SC 105285 F095910SC 
M92117SC 105888 F040410SC 
M93017SC 105888 F040410SC 
M88417SC 67497 G050611SC 
M87417SC 105285 H027812SC 
M91017SC 67497 F086210SC 
M87517SC 105285 F095910SC 
M87617SC 105285 H027812SC 
M91417SC A113103 0289102SC 
M62817SC 67497 H027812SC 
M62917SC 34494 F095910SC 
M63017SC 34494 H052812SC 
M64017SC 34494 F095910SC 
M64317SC 34494 0335803SC 
M64617SC 67497 0245602SC 
M64717SC 67497 0245602SC 
M65017SC A121843 A092005SC 
M65217SC 34494 B091506SC 
M65517SC 67497 I016613SC 
M65617SC 34494 A092005SC 
M91617SC 67497 F086210SC 
M93817SC 105285 F095910SC 
M65717SC 67497 0245602SC 
M66117SC 67497 I016613SC 
M89917SC 105285 F095910SC 
M95217SC R10112338 0289102SC 
M95117SC A113103 F086210SC 
M93117SC 105285 F095910SC 
M89517SC 105285 E054509SC 
M88117SC 105285 H027812SC 
M66317SC 34494 G027411SC 
M94317SC A113103 F086210SC 
M96617SC R10112338 0289102SC 
M88617SC 105285 H027812SC 
M90117SC 105285 F095910SC 
M88817SC 67497 I050013SC 
M95017SC R10112338 0289102SC 
M66717SC A121843 B015806SC 
M66817SC 34494 H052812SC 
M67417SC 53188 H027812SC 
M67517SC 34494 0484504SC 
M67717SC 67497 I051013SC 
M67917SC 67497 F013710SC 
M68517SC 34494 B088606SC 
M69117SC A121843 A092005SC 
M69317SC 67497 0245602SC 
M69917SC A116836 E054509SC 
M70217SC 34494 B088606SC 
M70917SC 67497 0245602SC 
M71517SC A121843 A092005SC 
M71717SC 67497 I016613SC 
M72017SC 67497 0245602SC 
M72217SC 34494 0484504SC 
M72517SC 34494 H007712SC 
M73017SC 34494 B088606SC 
M73817SC 34494 0335803SC 
M74517SC 34494 F095910SC 
M75017SC A116836 E054509SC 
M75317SC 67497 0245602SC 
M75417SC 53188 H027812SC 
M76917SC 75130 I051813SC 
M77017SC 34494 H052812SC 
M78117SC 67497 0245602SC 
M78717SC 34494 H007712SC 
M78817SC 34494 H007712SC 
M78917SC 34494 0335803SC 
M79017SC 34494 H052812SC 
M79917SC A116836 E054509SC 
M80017SC 67497 H027812SC 
M80117SC 34494 H027812SC 
M80717SC 34494 B088606SC 
M81017SC 34494 0484504SC 
M81517SC 34494 H052812SC 
M82417SC 34494 F040410SC 
M83317SC 67497 I051013SC 
M83817SC A121843 B015806SC 
M84117SC A116836 E054509SC 
M84817SC 34494 F095910SC 
M85017SC 75130 C091107SC 
M92317SC A113103 0289102SC 
M90017SC A113103 F017210SC 
M92817SC 67497 F086210SC 
M95917SC R10112338 E054509SC 
M89117SC A113103 F017210SC 
M97917SC 67497 F095910SC 
M91917SC 98354 F048710SC 
M89817SC A113103 F017210SC 
M88217SC A113103 0289102SC 
M93617SC 105876 F017210SC 
M90617SC 105888 F040410SC 
M89317SC A113103 F017210SC 
M93417SC 67497 F086210SC 
M88517SC A113103 0289102SC 
M92217SC A113103 0289102SC 
M93517SC 67497 I050013SC 
M88317SC A113103 F017210SC 
M00417SC 105876 A092005SC 
M01117SC 105876 B097706SC 
M02117SC 98649 E003009SC 
M05117SC 105285 G027411SC 
M05617SC 105888 H007712SC 
M07217SC 105888 H052412SC 
M08317SC 105888 I016613SC 
M09017SC 98354 I051013SC 
M09817SC 105876 I093113SC 
M10017SC 105888 J013414SC 
M10117SC 105876 J013814SC 
M11017SC 105888 J038914SC 
M11417SC 105888 J050214SC 
M14017SC 105888 J065314SC 
M14117SC 105888 J088614SC 
M46417SC 105888 H089012SC 
M49317SC 105888 I055413SC 
M50117SC 105888 I015713SC 
M52717SC 105888 J026714SC 
M53217SC 105888 J039914SC 
M54017SC 105876 J057014SC 
M54217SC 105876 J057814SC 
M55517SC 105888 J063414SC 
M55717SC 105876 J063714SC 
M55917SC 105888 J064014SC 
M56017SC 105888 J064114SC 
7076TE17SX A136671 113611SX 
7084TE17SX A136671 113611SX 
7085TE17SX A113604 122212SX 
704517SX SXRM38P17 700107SX 
704817SX SXRM38P17 127712SX 
704917SX SXRM38P17 305213SX 
705117SX SXRM38P17 303113SX 
705417SX SXRM38P17 126112SX 
705517SX 102380 311313SX 
705617SX SXRM38P17 111411SX 
705717SX SXRM38P17 310113SX 
706417SX 111061 100410SX 
706617SX SXRM38P17 402214SX 
706917SX SXRM38P17 402714SX 
707117SX SXRM38P17 405415SX 
707317SX 90770 103210SX 
707417SX SXRM38P17 112711SX 
707517SX A121924 3076TE13SX 
707717SX SXRM38P17 700407SX 
708117SX SXRM38P17 120612SX 
708917SX SXRM38P17 126212SX 
709117SX 102361 703007SX 
709217SX SXRM38P17 301413SX 
709317SX SXRM38P17 409414SX 
709517SX SXRM38P17 100510SX 
709717SX SXRM38P17 309913SX 
709817SX SXRM38P17 300413SX 
710117SX SXRM38P17 81501SX 
710217SX SXRM38P17 408214SX 
710417SX SXRM38P17 404014SX 
710917SX 102380 303813SX 
711117SX SXRM38P17 115111SX 
7001B17SX SXRM38P17 112511SX 
7006B17SX A116836 313213SX 
7010B17SX A121924 401314SX 
7012B17SX A121924 126012SX 
7014B17SX A136671 303313SX 
7016B17SX A117922 805208SX 
7017B17SX A117922 121012SX 
7018B17SX A112571 904409SX 
7020B17SX A117922 112311SX 
7022B17SX A121924 310213SX 
7024B17SX A117922 111511SX 
7025B17SX A136629 113411SX 
7026B17SX A117922 311413SX 
7027B17SX 68094 904709SX 
7028B17SX A121924 112811SX 
7031B17SX 102363 120112SX 
7034B17SX SXRM38P17 800308SX 
7035B17SX SXRM38P17 120712SX 
7036B17SX 102363 104010SX 
7040B17SX 102363 124512SX 
7041B17SX SXRM38P17 124012SX 
7042B17SX SXRM38P17 310813SX 
520317SAGA R9692850 486411SAGA 
520417SAGA A133561 452910SAGA 
520517SAGA R9692850 506511TUL 
521217SAGA 100097 433809SAGA 
521517SAGA R9692850 494211SAGA 
522117SAGA IA1630 472910SAGA 
522317SAGA IA1478 340106SAGA 
522517SAGA 113645 491011SAGA 
523117SAGA IA1040 432409SAGA 
523417SAGA R9692850 458510SAGA 
523817SAGA 113645 382707SAGA 
524317SAGA IA1735 396107SAGA 
524717SAGA A133561 104205SJ 
525617SAGA IA1040 400007SAGA 
526217SAGA IA1040 473110SAGA 
526617SAGA 53188 489811SAGA 
528217SAGA A133561 520712SAGA 
528417SAGA 53188 474810SAGA 
529517SAGA 53188 323210TUL 
530617SAGA R9692850 508011TUL 
530717SAGA 53188 163807SJ 
531317SAGA 113645 521112SAGA 
544817SAGA R9692850 FIV124007SAGA 
547517SAGA A125289 526112SAGA 
547717SAGA IA1239 456410SAGA 
549417SAGA SAGARM38P16 593614SAGA 
551517SAGA 53188 524812SAGA 
551817SAGA 53188 546912SAGA 
552517SAGA A133561 498611SAGA 
726217SAGA IA1478 444309SAGA 
726517SAGA A133561 465110SAGA 
726917SAGA 113645 513412SAGA 
727217SAGA A133561 451810SAGA 
727517SAGA IA1040 427609SAGA 
727617SAGA A133561 313810TUL 
727717SAGA 113645 451010SAGA 
727917SAGA 113645 480411SAGA 
728217SAGA 113645 505411TUL 
728717SAGA A133561 312410TUL 
750517SAGA IA1478 474910SAGA 
750817SAGA IA1040 456810SAGA 
750917SAGA IA1478 484411SAGA 
751117SAGA 100097 445710SAGA 
751217SAGA 113645 405808SAGA 
751317SAGA 53188 500711TUL 
751517SAGA 53188 310810TUL 
751817SAGA 113645 515812SAGA 
752017SAGA R9692850 382907SAGA 
752217SAGA 113645 345906SAGA 
752717SAGA 113645 296010TUL 
753817SAGA 53188 326605SAGA 
753917SAGA A133561 503611TUL 
754017SAGA A133561 452410SAGA 
754417SAGA IA1040 446309SAGA 
754517SAGA IA1478 326405SAGA 
754617SAGA A133561 341906SAGA 
754717SAGA R9692850 391207SAGA 
754917SAGA A133561 587814SAGA 
755017SAGA R9692850 588014SAGA 
755117SAGA IA1239 294804SAGA 
755617SAGA A133561 C03314SAGA 
756017SAGA R10112338 70104SJ 
756717SAGA R9692850 595014SAGA 
757017SAGA R9692850 478411SAGA 
757217SAGA IA1040 401708SAGA 
757517SAGA 53188 601414SAGA 
757617SAGA 53188 453210SAGA 
758017SAGA 53188 515211TUL 
758417SAGA R9692850 596114SAGA 
758617SAGA R10112338 617714SAGA 
758817SAGA 53188 581114SAGA 
759217SAGA 53188 486911SAGA 
759817SAGA 53188 417108SAGA 
759917SAGA 53188 545712SAGA 
760017SAGA 53188 589714SAGA 
760317SAGA IA1040 309804SAGA 
760917SAGA 113645 428109SAGA 
761417SAGA R9692850 517212SAGA 
761517SAGA 53188 510012SAGA 
761717SAGA 113645 533712SAGA 
762117SAGA R9692850 406108SAGA 
762217SAGA 53188 528012SAGA 
762317SAGA R9692850 514811TUL 
763317SAGA IA1478 477010SAGA 
763517SAGA 53188 544912SAGA 
764017SAGA 113645 415508SAGA 
765717SAGA 113645 520312SAGA 
765917SAGA 113645 448410SAGA 
766017SAGA SAGARM38P16 385107SAGA 
766117SAGA 53188 515012SAGA 
766417SAGA R9692850 453010SAGA 
766517SAGA A125289 514612SAGA 
766617SAGA IA1478 516012SAGA 
766817SAGA IA1478 512712SAGA 
767117SAGA 113645 496911SAGA 
768217SAGA R10112338 514712SAGA 
768317SAGA R9692850 467010SAGA 
768417SAGA 53188 526712SAGA 
768517SAGA R9692850 310910TUL 
769717SAGA A133561 543912SAGA 
769917SAGA IA1478 343506SAGA 
770217SAGA IA1040 454810SAGA 
770417SAGA 53188 A36405SAGA 
770617SAGA 100097 460910SAGA 
771517SAGA 53188 528712SAGA 
771617SAGA CABR129 410008SAGA 
771917SAGA R10112338 482711SAGA 
772017SAGA 53188 545812SAGA 
773517SAGA 53188 544612SAGA 
773717SAGA 113645 519012SAGA 
774217SAGA IA1496 435209SAGA 
774617SAGA IA1478 545912SAGA 
775217SAGA A133561 529112SAGA 
775617SAGA 53188 525812SAGA 
776217SAGA SAGARM38P16 361806SAGA 
C0117ESR 94530 Y2413ESR 
C0217ESR 108962 S034308WO 
C0317ESR A113604 Z4814ESR 
C0417ESR 59734 S014308WO 
C0517ESR 59734 U010910WO 
C0617ESR A113604 Z0214ESR 
C0717ESR A113604 Z5214ESR 
C0817ESR A113604 Z6614ESR 
C0917ESR ESRRM38P17 A0115ESR 
C1017ESR A113604 Z0914ESR 
C1117ESR 59734 V014311WO 
C1217ESR 108962 S032408WO 
C1317ESR 108962 P004205WO 
C1417ESR A113604 Z0514ESR 
C1517ESR A113604 Z3614ESR 
C1617ESR A113604 Z3114ESR 
C1717ESR 59734 U004910WO 
C1817ESR 59090 S006808WO 
C1917ESR 59090 V005411WO 
C2017ESR A113604 Z6714ESR 
C2117ESR 59734 Z6314ESR 
C2217ESR A113604 Z1514ESR 
C2317ESR 59090 M025402WO 
C2417ESR 59090 R020607WO 
C2517ESR 59734 Z5714ESR 
C2617ESR A112688 Y2213ESR 
C2717ESR 108962 S033508WO 
C2817ESR 59090 V004311WO 
C2917ESR 108962 S031508WO 
C3017ESR 108962 V007711WO 
C3117ESR 108962 SN010ESR 
C3217ESR 59734 S005808WO 
C3317ESR 108962 V021411WO 
C3417ESR 108962 S008708WO 
C3517ESR 108962 V001911WO 
C3717ESR 94530 N003103WO 
C3817ESR 108962 S037408WO 
C3917ESR A113604 Z4714ESR 
C4017ESR 108962 U009510WO 
C4117ESR 108962 V008411WO 
C4317ESR 108962 R036307WO 
C4417ESR 108962 S030708WO 
C4517ESR 108962 S033008WO 
C4617ESR 94530 Y1713ESR 
C4717ESR 94530 X007212WO 
